Map Name,Rank,Best Time,Date,Start Speed
surf_2pacisalive,1,00:30.0000,2021-12-13 09:51:27,472 u/s
surf_amplitude_apex_njv,1,01:20.0391,2021-06-05 03:03:12,482 u/s
surf_beneath,1,01:06.4922,2023-02-04 18:49:25,501 u/s
surf_calibration,1,01:13.5000,2022-03-17 18:06:46,486 u/s
surf_catalyst2,1,00:50.1680,2020-10-26 04:39:23,505 u/s
surf_destruction,1,01:03.3633,2022-08-25 12:32:03,509 u/s
surf_eclipse_fix,1,01:01.0898,2021-11-22 07:21:45,498 u/s
surf_exocube_e,1,00:52.8398,2020-09-27 23:13:39,505 u/s
surf_exonic,1,01:27.8672,2022-04-15 00:13:19,471 u/s
surf_fantasy,1,01:12.5273,2022-01-30 10:34:32,512 u/s
surf_fathom,1,00:23.2383,2022-04-02 19:33:23,516 u/s
surf_gauntlet_final,1,01:00.0820,2022-10-08 21:12:43,605 u/s
surf_golden_a,1,01:23.2031,2022-04-14 23:30:26,512 u/s
surf_gradient,1,02:41.5430,2021-12-13 10:37:11,508 u/s
surf_horizon_njv,1,00:25.4180,2021-02-22 07:49:22,494 u/s
surf_hotrod,1,00:47.5781,2020-09-29 04:09:27,489 u/s
surf_illumination2,1,02:05.6016,2018-07-26 18:39:55,479 u/s
surf_in_the_dark,1,00:58.9922,2022-02-21 11:08:16,501 u/s
surf_kismet,1,00:35.0273,2022-10-20 21:44:55,485 u/s
surf_koa,1,00:54.0469,2022-04-17 14:42:52,510 u/s
surf_kz_protraining,1,01:08.5313,2020-11-21 10:27:43,509 u/s
surf_lullaby_redone_njv,1,00:51.0938,2023-04-11 14:23:45,511 u/s
surf_map_h,1,01:18.9492,2019-10-18 22:48:41,392 u/s
surf_masonry-,1,00:54.2813,2022-01-12 09:37:11,522 u/s
surf_nemesis,1,00:48.3047,2022-04-03 11:33:41,519 u/s
surf_newb_hazard_r1,1,00:20.2969,2022-06-27 20:26:18,508 u/s
surf_numbers2,1,01:28.9805,2018-10-31 00:10:57,368 u/s
surf_oompa_loompa_,1,00:42.3984,2020-12-15 07:01:27,561 u/s
surf_prevail,1,00:51.1172,2022-09-26 13:15:13,610 u/s
surf_primero,1,01:03.1641,2019-09-14 20:08:50,486 u/s
surf_quilavar-,1,00:48.4102,2020-09-28 10:44:04,486 u/s
surf_quirky,1,00:20.1914,2023-02-09 19:46:57,504 u/s
surf_reflex_go,1,00:57.2227,2020-08-19 04:13:50,504 u/s
surf_royal,1,00:45.6328,2022-06-05 13:54:28,478 u/s
surf_rstar,1,00:24.6445,2023-02-06 20:00:28,509 u/s
surf_sandbrick,1,01:18.8086,2019-09-16 23:49:24,499 u/s
surf_scorch_go,1,00:36.4453,2020-10-13 02:48:01,506 u/s
surf_semesterbreak_fix,1,00:52.7930,2020-11-08 19:14:43,497 u/s
surf_shodan,1,01:16.7578,2023-04-25 10:31:23,608 u/s
surf_singletons,1,00:22.9805,2022-04-03 16:28:24,495 u/s
surf_strafe,1,00:32.7188,2022-05-14 00:23:43,603 u/s
surf_timber,1,01:04.1016,2021-01-10 10:45:04,494 u/s
surf_togo_njv,1,00:39.8555,2022-03-26 20:00:17,489 u/s
surf_unraveled,1,01:06.3281,2020-07-02 03:29:53,483 u/s
surf_unreal_njv,1,00:59.6016,2020-10-18 09:23:12,586 u/s
surf_wonky_fix,1,00:37.3125,2023-03-14 11:40:15,509 u/s
